key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_15.keys,key_resp_15.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,base_sentence_number,version,experiment,list,numb_words,gender,sentence,question,answer,CorrAns,w1,w2,w3,w4,w5,w6,w7,w8,w9,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_16.keys,key_resp_16.rt,word1.keys,word1.rt,word2.keys,word2.rt,word3.keys,word3.rt,word4.keys,word4.rt,word5.keys,word5.rt,word6.keys,word6.rt,word7.keys,word7.rt,word8.keys,word8.rt,word9.keys,word9.rt,compquestion.keys,compquestion.corr,compquestion.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NA,filler,1and2,9,NA,"He smiled warmly, extending a hand in friendly greeting.",Did someone fall?,,0,He,smiled,"warmly,",extending,a,hand,in,friendly,greeting.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.8124,space,0.5841,space,1.3925,space,0.4109,space,0.34,space,0.2805,space,0.2651,space,0.2649,space,0.3068,n,0,1.2049,0,13,13,13,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36_2,inclusive_gender_they,1,9,they,Helen is anxious because they dread the presentation earlier.,Did Helen's presentation go well?,no,0,Helen,is,anxious,because,they,dread,the,presentation,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.3046,space,0.4214,space,0.4816,space,1.3499,space,0.2892,space,0.2826,space,0.3279,space,0.3524,space,0.4311,n,0,2.8007,0,14,14,14,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16_2,neutral_gender_someone,1,9,neutral,Someone passed me and they sped before I noticed.,Was everybody going slow?,no,0,Someone,passed,me,and,they,sped,before,I,noticed.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.8001,space,0.5061,space,0.3718,space,0.3319,space,0.3191,space,0.333,space,0.3018,space,0.3548,space,0.3057,n,0,2.2282,0,15,15,15,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20_1,inclusive_gender_reflexive,1,9,himself,Mike was jogging by himself in the park earlier.,Was Mike sleeping?,no,0,Mike,was,jogging,by,himself,in,the,park,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.7045,space,0.3982,space,0.4251,space,0.8482,space,0.3653,space,0.5525,space,0.3592,space,0.2975,space,0.3645,n,0,1.083,0,16,16,16,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,NA,filler,1and2,9,NA,"She danced a lot, her movements resembling pure poetry.",Was it an unpleasant dance?,,0,She,danced,a,"lot,",her,movements,resembling,pure,poetry.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.3182,space,0.3315,space,0.4488,space,0.3183,space,0.3815,space,0.5741,space,0.5488,space,0.3845,space,0.3811,n,0,3.3841,0,17,17,17,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4_2,neutral_gender_someone,1,9,neutral,Someone punched me but they ran before I noticed.,Was everybody involved peaceful?,no,0,Someone,punched,me,but,they,ran,before,I,noticed.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.2622,space,0.2827,space,0.3351,space,0.2692,space,0.2943,space,0.2654,space,0.288,space,0.3063,space,0.2925,n,0,2.4335,0,18,18,18,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7_1,neutral_gender_someone,1,9,masculine,Someone threatened me but he ran before I reacted.,Was there a threat?,yes,1,Someone,threatened,me,but,he,ran,before,I,reacted.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.3179,space,0.3148,space,0.5354,space,0.4623,space,0.3331,space,0.3023,space,0.2881,space,0.2862,space,0.2998,y,0,3.5351,0,19,19,19,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19_2,inclusive_gender_reflexive,1,9,themself,James was studying by themself in the library yesterday.,Was James at the library?,yes,1,James,was,studying,by,themself,in,the,library,yesterday.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.3862,space,0.4675,space,0.3427,space,1.3369,space,0.6826,space,0.5762,space,0.3882,space,0.2811,space,0.29,y,0,1.6028,0,20,20,20,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11_1,neutral_gender_someone,1,9,masculine,Someone pushed me but he tripped after I fell.,Was there any sort of physical violence?,yes,1,Someone,pushed,me,but,he,tripped,after,I,fell.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,7.6544,space,0.6148,space,0.3829,space,0.3883,space,0.4538,space,0.5757,space,0.5049,space,0.3321,space,0.3338,y,0,2.7402,0,21,21,21,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37_1,inclusive_gender_they,1,9,she,Emily is grateful because she got nice gifts yesterday.,Did Emily get presents?,yes,1,Emily,is,grateful,because,she,got,nice,gifts,yesterday.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,34.6716,space,0.4566,space,0.2818,space,0.3146,space,0.2653,space,0.2318,space,0.3309,space,0.3088,space,0.3681,y,0,1.3241,0,22,22,22,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32_1,inclusive_gender_reflexive,1,9,himself,Hugh was stretching by himself in the garden earlier.,Was Hugh in the attic?,no,0,Hugh,was,stretching,by,himself,in,the,garden,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.4114,space,5.491,space,0.3734,space,0.3212,space,0.309,space,0.5169,space,0.2574,space,0.3395,space,0.2154,n,0,1.6152,0,23,23,23,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44_2,inclusive_gender_they,1,9,they,Alice is hopeful because they had good luck yesterday.,Is Alice sad?,no,0,Alice,is,hopeful,because,they,had,good,luck,yesterday.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.4963,space,0.333,space,0.2741,space,0.374,space,0.3399,space,0.4578,space,0.2606,space,0.2748,space,0.3168,n,0,1.1146,0,24,24,24,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3_1,neutral_gender_someone,1,9,masculine,Someone hit me but he ran before I reacted,Was there physical violence?,yes,1,Someone,hit,me,but,he,ran,before,I,reacted.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.2896,space,0.7531,space,0.5363,space,0.3358,space,0.3818,space,0.3485,space,0.2613,space,0.3907,space,0.3181,y,0,3.4516,0,25,25,25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39_1,inclusive_gender_they,1,9,she,Judy is confused because she lost the map ealier.,Did Judy lose something?,yes,1,Judy,is,confused,because,she,lost,the,map,ealier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.5101,space,0.3282,space,0.304,space,0.3784,space,0.44,space,0.5693,space,0.4394,space,0.3433,space,0.2395,y,0,1.4821,0,26,26,26,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18_1,inclusive_gender_reflexive,1,9,himself,Luke was reading by himself on the couch earlier.,Was Luke painting?,no,0,Luke,was,reading,by,himself,on,the,couch,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.3369,space,0.4936,space,0.2809,space,0.3361,space,0.2812,space,0.4197,space,0.3711,space,0.3662,space,0.4833,n,0,2.5311,0,27,27,27,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14_2,neutral_gender_someone,1,9,neutral,Someone photographed me but they quit before I spoke.,Did someone take pictures?,yes,0,Someone,photographed,me,but,they,quit,before,I,spoke.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.3761,space,0.3103,space,0.3921,space,0.3305,space,0.3378,space,0.3348,space,0.3831,space,0.367,space,0.3372,y,0,1.6382,0,28,28,28,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30_1,inclusive_gender_reflexive,1,9,himself,Scott was drinking by himself at the bar earlier.,Was Scott at his apartment?,no,0,Scott,was,drinking,by,himself,at,the,bar,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,4.8546,space,0.3147,space,0.3021,space,0.3638,space,0.3572,space,0.3904,space,0.3446,space,0.269,space,0.285,n,0,1.37,0,29,29,29,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,NA,filler,1and2,9,NA,"Waves crashed against the shore, creating a soothing rhythm.",Was the rhythm violent?,,0,Waves,crashed,against,the,"shore,",creating,a,soothing,rhythm.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.3038,space,0.2861,space,0.3182,space,0.2736,space,0.2525,space,0.3046,space,0.4657,space,0.4617,space,0.5379,y,0,6.2979,0,30,30,30,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28_1,inclusive_gender_reflexive,1,9,himself,Tom was swimming by himself at the beach earlier.,Was Tom at the park?,no,0,Tom,was,swimming,by,himself,at,the,beach,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,11.3249,space,0.397,space,0.2739,space,0.2658,space,0.3188,space,0.399,space,1.3817,space,1.133,space,0.5045,n,0,1.2033,0,31,31,31,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46_2,inclusive_gender_they,1,9,they,Kate is tipsy because they had two drinks earlier.,Is Kate sober?,no,0,Kate,is,tipsy,because,they,had,two,drinks,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,2.9934,space,0.3755,space,0.3722,space,0.7219,space,0.4776,space,0.4635,space,0.4993,space,0.855,space,0.4026,n,0,1.4106,0,32,32,32,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35_1,inclusive_gender_they,1,9,she,Susan is joyful because she won the lottery yesterday.,Is Susan in a good mood?,yes,1,Susan,is,joyful,because,she,won,the,lottery,yesterday.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.8613,space,0.3067,space,0.2907,space,0.4187,space,0.3323,space,0.3396,space,0.3149,space,0.3323,space,0.3925,y,0,1.6642,0,33,33,33,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24_1,inclusive_gender_reflexive,1,9,himself,Jake was strolling by himself at the park earlier.,Was Jake swimming?,no,0,Jake,was,strolling,by,himself,at,the,park,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.4804,space,0.767,space,0.266,space,0.3773,space,0.2993,space,0.3327,space,0.2698,space,0.307,space,0.2938,n,0,1.0214,0,34,34,34,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,NA,filler,1and2,9,NA,"I awaited eagerly, anticipating the arrival of the morning.",Was the person waiting for something?,,1,I,awaited,"eagerly,",anticipating,the,arrival,of,the,morning.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.3424,space,1.7063,space,0.2813,space,0.4378,space,0.469,space,0.3229,space,0.2973,space,0.2705,space,0.2646,y,0,1.6109,0,35,35,35,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27_2,inclusive_gender_reflexive,1,9,themself,Paul was drawing by themself in the attic yesterday.,Was Paul drawing?,yes,1,Paul,was,drawing,by,themself,in,the,attic,yesterday.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,1.8837,space,0.4941,space,0.8023,space,0.6385,space,0.6268,space,0.7016,space,0.7103,space,0.6802,space,0.683,n,0,2.2287,0,36,36,36,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,NA,filler,1and2,9,NA,"The child's laughter echoed, bringing joy to the playground.",Was the child happy?,,1,The,child's,laughter,"echoed,",bringing,joy,to,the,playground.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.4443,space,0.4608,space,1.1075,space,1.1398,space,0.9107,space,1.3744,space,0.8443,space,0.6918,space,0.8372,y,0,1.7202,0,37,37,37,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45_1,inclusive_gender_they,1,9,she,Patricia is upset because she missed the bus earlier.,Is Patricia in a bad mood?,yes,1,Patricia,is,upset,because,she,missed,the,bus,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.6638,space,1.2659,space,0.6245,space,0.6079,space,0.7664,space,0.9045,space,0.4901,space,0.3593,space,0.3952,y,0,1.6645,0,38,38,38,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8_2,neutral_gender_someone,1,9,neutral,Someone serenaded me and they stopped before I applauded.,Did the person dance?,no,0,Someone,serenaded,me,and,they,stopped,before,I,applauded.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.492,space,0.3517,space,0.315,space,0.3857,space,0.4683,space,0.3308,space,0.3649,space,0.3865,space,0.4171,,,,1,0,60,59,1,59
